Species,Habitat,Max_height_sub,Leaf_Area,SLA,SiO2,N,C,P
acreana,floodplain,22,42.35915319,17.52988183,0.755422298,3.19725,49.40675,0.113583502
alata,neutral,10.5,51.18141271,19.7729683,0.595708623,3.465,49.18,0.137541502
alba,terra_firme,32.5,52.04567797,21.29901491,0.881002899,4.156,48.368,0.09874898
auristellae,terra_firme,16,14.56665453,15.13535193,0.953147599,2.92125,48.62275,0.100040541
barbata,floodplain,NA,18.62953846,18.32366002,0.751005169,3.003,48.058,0.129065041
bourgonii,floodplain,44.2,54.20394227,17.27610435,1.204748028,3.155666667,48.01,0.126097937
brachystachys.cf,terra_firme,NA,40.39917217,17.36107255,NA,NA,NA,NA
capitata,neutral,34.8,94.7970077,11.3356365,1.840382123,2.644,46.79575,0.110596834
cayennensis,terra_firme,25,12.42517127,12.80871529,0.90575708,3.465,47.616,0.115868526
chartacea,neutral,10,82.75984354,15.33410504,0.552625624,2.615,49.759,0.113253012
cinnamomea,floodplain,7.5,61.38779603,21.77696516,0.84851966,4.584,47.434,0.218740157
cordatoalata,terra_firme,NA,25.84796234,11.86487209,NA,NA,NA,NA
cylindrica.cf,terra_firme,21.8,31.10717799,12.71815857,1.177573989,2.646,47.441,0.093809524
densiflora,neutral,11.2,36.74648802,13.04148602,1.652180382,2.807,46.485,0.097776808
edulis,neutral,37.9,54.80833993,16.7425095,0.822802987,3.274,48.491,0.153809524
fosteriana,floodplain,NA,145.0422281,15.04587266,NA,NA,NA,NA
heterophylla,terra_firme,NA,10.18126975,19.55480384,NA,NA,NA,NA
ingoides,neutral,NA,49.6333185,12.27318786,NA,NA,NA,NA
killipiana,NA,NA,83.68415264,9.187820771,NA,NA,NA,NA
klugii,floodplain,NA,20.6260617,13.9137487,0.772780372,3.198,46.897,0.150231707
laurina,terra_firme,39.1,52.55187651,14.86136866,1.175925904,2.927666667,47.93333333,0.097078774
leiocalycina,terra_firme,25.2,28.98126849,14.12883676,0.83003684,3.567,48.823,0.126027709
lineata,NA,NA,30.6716076,12.83249211,NA,NA,NA,NA
longipes,NA,NA,37.66188096,9.859131141,NA,NA,NA,NA
marginata,floodplain,40.8,29.52374122,11.83910253,1.569322807,3.129,46.225,0.19824
morpho.18,terra_firme,NA,35.27350699,13.54278055,NA,NA,NA,NA
morpho.21,floodplain,18.2,50.67418851,16.19052641,0.883910289,2.829,48.087,0.153170732
morpho.22,terra_firme,NA,62.45417774,20.26721668,0.773837284,3.435,50.109,0.134693878
morpho.50,neutral,NA,19.40603312,12.59447515,NA,NA,NA,NA
morpho.53,neutral,6.2,28.29633512,12.20346579,NA,NA,NA,NA
morpho.54,neutral,NA,20.22334825,10.92594982,NA,NA,NA,NA
morpho.55,floodplain,NA,19.98409782,11.75765675,NA,NA,NA,NA
morpho.56,NA,NA,44.90775105,16.75721406,NA,NA,NA,NA
morpho.58,neutral,NA,10.16712111,17.0854051,NA,NA,NA,NA
nobilis,floodplain,13,30.00733091,14.29107519,0.89593496,2.8944,48.0812,0.131525602
pitmanii,floodplain,NA,95.10130192,13.25311945,NA,NA,NA,NA
poeppigiana,terra_firme,17.1,14.70250712,18.11580165,0.691207349,3.59,48.356,0.118026585
porcata,floodplain,NA,30.93790373,18.94489626,NA,NA,NA,NA
psittacorum,NA,NA,6.345337425,15.86334357,NA,NA,NA,NA
punctata,floodplain,15.9,55.64629583,14.62332124,1.237288023,2.898,47.116,0.148844
ruiziana,floodplain,23.8,42.57924128,12.10260624,1.243383875,2.6775,47.1035,0.183586376
sapindoides,floodplain,22.8,89.65623804,17.32262129,1.200066551,3.829,45.853,0.193451386
sertulifera.ssp.leptopus,terra_firme,NA,28.29099155,13.37035946,NA,NA,NA,NA
setosa,floodplain,NA,22.32013305,24.30255471,NA,NA,NA,NA
steinbachii,floodplain,NA,39.04537256,14.20363733,0.956623142,3.02,49.009,0.114867886
stenoptera,NA,NA,33.881427,11.44642804,NA,NA,NA,NA
stipulacea,neutral,NA,43.31869231,17.61235345,NA,NA,NA,NA
suaveolens,floodplain,18,20.65707402,16.95853349,0.683853988,3.567,47.2295,0.145734943
tenuistipula,neutral,NA,67.37054274,15.36223608,NA,NA,NA,NA
thibaudiana,terra_firme,27,32.45273072,14.26032094,1.060487827,3.234,47.704,0.099196407
tocacheana,NA,NA,8.21476002,20.33095955,NA,NA,NA,NA
tomentosa,floodplain,13,73.0867952,19.82792196,0.619008504,4.0605,49.0055,0.246654232
umbellifera,terra_firme,25.4,55.51580466,14.16494251,0.712033365,3.583,48.32466667,0.124045127
venusta,terra_firme,27.4,97.6022862,12.95864505,0.868417396,2.896,48.461,0.116716599
vera,NA,NA,14.6225106,11.63771567,NA,NA,NA,NA
