"","Plot","tag","family","genus","specie","Genus.species","Overall_score","Taxonomic_status","Accepted_name","Accepted_author","Accepted_family","Source","Warnings","Accepted_name_lsid","GenusSTM","SpeciesSTM","indexSTM","d13C","d13C_level","d15N","d15N_level","Height","Height_level","LeafArea","LeafArea_level","LCC","LCC_level","LNC","LNC_level","LPC","LPC_level","SeedMass","SeedMass_level","SLA","SLA_level","WoodDensity","WoodDensity_level"
"7605","ACJ-01","1","SYMPLOCACEAE","Symplocos","quitensis","",1,"Accepted","Symplocos quitensis","Brand","Symplocaceae","tropicos",NA,NA,"Symplocos","quitensis",1,NA,"family",NA,"family",21.7417333333333,"genus",3455,"genus",0.449943644,"genus",3.66377243157143,"genus",0.291398428571429,"genus",0.0888111111111111,"genus",12.8893431728,"genus",0.530862727272727,"genus"
"2379","ACJ-01","2","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",2,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2380","ACJ-01","3","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",3,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2381","ACJ-01","4","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",4,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"6657","ACJ-01","5","ROSACEAE","Polylepis","pauta","",1,"Accepted","Polylepis pauta","Hieron.","Rosaceae","tropicos",NA,NA,"Polylepis","pauta",5,-27.542558014359,"family",0.0524379340526316,"family",4.36283565891473,"family",2157.91378648399,"family",0.537376029,"genus",1.110662006,"genus",0.0799875,"genus",0.101668692877907,"family",14.6939191168656,"family",0.630444395604396,"family"
"2382","ACJ-01","6","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",6,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"5154","ACJ-01","7","MELASTOMATACEAE","Miconia","sp3","",0.9,"Accepted","Miconia","Ruiz & Pav.","Melastomataceae","tropicos",NA,NA,"Miconia","",7,-32.79675194,"species",-0.5839269255,"species",0.45,"family",14288.5833333333,"species",0.41767485375,"species",2.159276599,"species",0.086818089,"species",0.000349666666666667,"genus",20.7261289813333,"species",0.622767924307692,"genus"
"1370","ACJ-01","8","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",8,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"5155","ACJ-01","9","MELASTOMATACEAE","Miconia","sp3","",0.9,"Accepted","Miconia","Ruiz & Pav.","Melastomataceae","tropicos",NA,NA,"Miconia","",9,-32.79675194,"species",-0.5839269255,"species",0.45,"family",14288.5833333333,"species",0.41767485375,"species",2.159276599,"species",0.086818089,"species",0.000349666666666667,"genus",20.7261289813333,"species",0.622767924307692,"genus"
"7606","ACJ-01","10","SYMPLOCACEAE","Symplocos","quitensis","",1,"Accepted","Symplocos quitensis","Brand","Symplocaceae","tropicos",NA,NA,"Symplocos","quitensis",10,NA,"family",NA,"family",21.7417333333333,"genus",3455,"genus",0.449943644,"genus",3.66377243157143,"genus",0.291398428571429,"genus",0.0888111111111111,"genus",12.8893431728,"genus",0.530862727272727,"genus"
